Línea seleccionada,Documento medición,Punto de medida,Fecha,Hora medición,ValMed/Val.total cont.,UnidadCaracterística,Creado por,Posición de medida,Diferencia val. cont.,Equipo,Texto,Texto
,129472883,128911,01/12/2022,12:01:16 a. m.,8514,l,SCONTRERASF,CONSUMO_OPH,270,16011237,CR5555 CAMION REVOLVEDOR,
,129472884,128913,01/12/2022,12:01:16 a. m.,726,h,SCONTRERASF,TIEMPO,20,16011237,CR5555 CAMION REVOLVEDOR,
,129472885,129116,01/12/2022,12:01:47 a. m.,10819,l,SCONTRERASF,CONSUMO_OPH,337,16011415,CR5577 CAMION REVOLVEDOR,
,129472886,129118,01/12/2022,12:01:47 a. m.,923,h,SCONTRERASF,TIEMPO,27,16011415,CR5577 CAMION REVOLVEDOR,
,129472887,128917,01/12/2022,12:02:14 a. m.,9060,l,SCONTRERASF,CONSUMO_OPH,288,16011239,CR5557 CAMION REVOLVEDOR,
,129472888,128919,01/12/2022,12:02:14 a. m.,766,h,SCONTRERASF,TIEMPO,21,16011239,CR5557 CAMION REVOLVEDOR,
,129472889,128923,01/12/2022,12:02:40 a. m.,10417,l,SCONTRERASF,CONSUMO_OPH,281,16011241,CR5559 CAMION REVOLVEDOR,
,129472890,128925,01/12/2022,12:02:40 a. m.,907,h,SCONTRERASF,TIEMPO,20,16011241,CR5559 CAMION REVOLVEDOR,
,129472897,129140,01/12/2022,12:07:01 a. m.,9240,l,SCONTRERASF,CONSUMO_OPH,283,16011423,CR5585 CAMION REVOLVEDOR,
,129472898,129142,01/12/2022,12:07:01 a. m.,864,h,SCONTRERASF,TIEMPO,23,16011423,CR5585 CAMION REVOLVEDOR,
,129472899,128896,01/12/2022,12:07:41 a. m.,7682,l,SCONTRERASF,CONSUMO_OPH,261,16011232,CR5550 CAMION REVOLVEDOR,
,129472900,128898,01/12/2022,12:07:41 a. m.,670,h,SCONTRERASF,TIEMPO,20,16011232,CR5550 CAMION REVOLVEDOR,
,129472901,128935,01/12/2022,12:08:02 a. m.,9335,l,SCONTRERASF,CONSUMO_OPH,290,16011245,CR5563 CAMION REVOLVEDOR,
,129472902,128937,01/12/2022,12:08:02 a. m.,752,h,SCONTRERASF,TIEMPO,20,16011245,CR5563 CAMION REVOLVEDOR,
,129472903,128920,01/12/2022,12:08:26 a. m.,8982,l,SCONTRERASF,CONSUMO_OPH,318,16011240,CR5558 CAMION REVOLVEDOR,
,129472904,128922,01/12/2022,12:08:26 a. m.,735,h,SCONTRERASF,TIEMPO,22,16011240,CR5558 CAMION REVOLVEDOR,
,129469970,110792,01/12/2022,01:40:44 a. m.,35727,l,JZANELLA,CONSUMO_OPH,138,9000228,CF9242,
,129469971,110793,01/12/2022,01:40:44 a. m.,20683,h,JZANELLA,TIEMPO,18,9000228,CF9242,
,129799202,109938,01/12/2022,02:41:32 a. m.,18920,h,IVALLEJO,TIEMPO,21,95004,,
,129799201,120781,01/12/2022,02:41:32 a. m.,149218,l,IVALLEJO,CONSUMO_OPH,300,95004,,
,129504464,128884,01/12/2022,03:53:32 a. m.,10310,l,SCONTRERASF,CONSUMO_OPH,104,16011229,CR5547 CAMION REVOLVEDOR,
,129504465,128886,01/12/2022,03:53:32 a. m.,847,h,SCONTRERASF,TIEMPO,11,16011229,CR5547 CAMION REVOLVEDOR,
,129504466,128914,01/12/2022,03:53:57 a. m.,10753,l,SCONTRERASF,CONSUMO_OPH,290,16011238,CR5556 CAMION REVOLVEDOR,
,129504467,128916,01/12/2022,03:53:57 a. m.,855,h,SCONTRERASF,TIEMPO,26,16011238,CR5556 CAMION REVOLVEDOR,
,129504468,128890,01/12/2022,03:54:26 a. m.,10417,l,SCONTRERASF,CONSUMO_OPH,314,16011230,CR5548 CAMION REVOLVEDOR,
,129504469,128892,01/12/2022,03:54:26 a. m.,846,h,SCONTRERASF,TIEMPO,20,16011230,CR5548 CAMION REVOLVEDOR,
,129472752,55916,01/12/2022,05:00:55 a. m.,25917.5,h,MX_OPER_PM,HORAS OPERADAS GPS,15.3,11002101,CR3014 CAMION REVOLVEDOR,
,129472755,56783,01/12/2022,05:00:56 a. m.,31205.9,h,MX_OPER_PM,HORAS OPERADAS GPS,9,11002720,CR3115 CAMION REVOLVEDOR,
,129472995,58387,01/12/2022,05:00:57 a. m.,27637.45,h,MX_OPER_PM,HORAS OPERADAS GPS,8.9,11003849,CR3690 CAMION REVOLVEDOR,
,129472996,93902,01/12/2022,05:00:57 a. m.,21431.5,h,MX_OPER_PM,HORAS OPERADAS GPS,13,11007980,CR4101 CAMION REVOLVEDOR,
,129473005,55296,01/12/2022,05:00:58 a. m.,24715.55,h,MX_OPER_PM,HORAS OPERADAS GPS,5.45,16000906,CR3335 CAMION REVOLVEDOR,
,129473006,55306,01/12/2022,05:00:58 a. m.,36546.05,h,MX_OPER_PM,HORAS OPERADAS GPS,7.35,16000916,CR3465 CAMION REVOLVEDOR,
,129473007,55307,01/12/2022,05:00:58 a. m.,34185.05,h,MX_OPER_PM,HORAS OPERADAS GPS,0.5,16000917,CR3469 CAMION REVOLVEDOR,
,129473009,55327,01/12/2022,05:00:58 a. m.,34833.45,h,MX_OPER_PM,HORAS OPERADAS GPS,9,16000937,CR3558 CAMION REVOLVEDOR,
,129473010,55381,01/12/2022,05:00:58 a. m.,34640.5,h,MX_OPER_PM,HORAS OPERADAS GPS,3.4,16000991,CR3805 CAMION REVOLVEDOR,
,129473011,55385,01/12/2022,05:00:58 a. m.,26246.05,h,MX_OPER_PM,HORAS OPERADAS GPS,7.65,16000995,CR3812 CAMION REVOLVEDOR,
,129473012,55397,01/12/2022,05:00:58 a. m.,34196.9,h,MX_OPER_PM,HORAS OPERADAS GPS,6.3,16001007,CR3851 CAMION REVOLVEDOR,
,129473017,56098,01/12/2022,05:00:59 a. m.,33468.75,h,MX_OPER_PM,HORAS OPERADAS GPS,5,16001292,CR3717 CAMION REVOLVEDOR,
